,설립구분,지역,학교명,기준연도,출생년도,학년,구분,학생수
714925,공립,충청북도 음성군,대소초등학교,2018,10,2학년,ttl,139
796189,공립,충청북도 음성군,대소초등학교,2017,10,1학년,in,3
802432,공립,충청북도 음성군,대소초등학교,2017,10,1학년,out,5
808675,공립,충청북도 음성군,대소초등학교,2017,10,1학년,ttl,144
211729,공립,충청북도 음성군,대소초등학교,2023,11,6학년,in,2
218036,공립,충청북도 음성군,대소초등학교,2023,11,6학년,out,5
224343,공립,충청북도 음성군,대소초등학교,2023,11,6학년,ttl,113
306352,공립,충청북도 음성군,대소초등학교,2022,11,5학년,in,5
312661,공립,충청북도 음성군,대소초등학교,2022,11,5학년,out,5
318970,공립,충청북도 음성군,대소초등학교,2022,11,5학년,ttl,111
400980,공립,충청북도 음성군,대소초등학교,2021,11,4학년,in,8
407289,공립,충청북도 음성군,대소초등학교,2021,11,4학년,out,10
413598,공립,충청북도 음성군,대소초등학교,2021,11,4학년,ttl,112
495471,공립,충청북도 음성군,대소초등학교,2020,11,3학년,in,6
501760,공립,충청북도 음성군,대소초등학교,2020,11,3학년,out,14
508049,공립,충청북도 음성군,대소초등학교,2020,11,3학년,ttl,113
589712,공립,충청북도 음성군,대소초등학교,2019,11,2학년,in,7
595977,공립,충청북도 음성군,대소초등학교,2019,11,2학년,out,12
602242,공립,충청북도 음성군,대소초등학교,2019,11,2학년,ttl,117
683665,공립,충청북도 음성군,대소초등학교,2018,11,1학년,in,1
689917,공립,충청북도 음성군,대소초등학교,2018,11,1학년,out,9
696169,공립,충청북도 음성군,대소초등학교,2018,11,1학년,ttl,131
98222,공립,충청북도 음성군,대소초등학교,2024,12,6학년,in,3
104524,공립,충청북도 음성군,대소초등학교,2024,12,6학년,out,2
110826,공립,충청북도 음성군,대소초등학교,2024,12,6학년,ttl,126
192808,공립,충청북도 음성군,대소초등학교,2023,12,5학년,in,4
199115,공립,충청북도 음성군,대소초등학교,2023,12,5학년,out,11
205422,공립,충청북도 음성군,대소초등학교,2023,12,5학년,ttl,126
287425,공립,충청북도 음성군,대소초등학교,2022,12,4학년,in,8
293734,공립,충청북도 음성군,대소초등학교,2022,12,4학년,out,6
300043,공립,충청북도 음성군,대소초등학교,2022,12,4학년,ttl,121
382053,공립,충청북도 음성군,대소초등학교,2021,12,3학년,in,5
388362,공립,충청북도 음성군,대소초등학교,2021,12,3학년,out,5
394671,공립,충청북도 음성군,대소초등학교,2021,12,3학년,ttl,125
476604,공립,충청북도 음성군,대소초등학교,2020,12,2학년,in,7
482893,공립,충청북도 음성군,대소초등학교,2020,12,2학년,out,12
489182,공립,충청북도 음성군,대소초등학교,2020,12,2학년,ttl,125
570917,공립,충청북도 음성군,대소초등학교,2019,12,1학년,in,9
577182,공립,충청북도 음성군,대소초등학교,2019,12,1학년,out,6
583447,공립,충청북도 음성군,대소초등학교,2019,12,1학년,ttl,124
739934,공립,충청북도 음성군,대장초등학교,2018,08,4학년,in,0
746186,공립,충청북도 음성군,대장초등학교,2018,08,4학년,out,2
752438,공립,충청북도 음성군,대장초등학교,2018,08,4학년,ttl,3
833648,공립,충청북도 음성군,대장초등학교,2017,08,3학년,in,3
839891,공립,충청북도 음성군,대장초등학교,2017,08,3학년,out,3
846134,공립,충청북도 음성군,대장초등학교,2017,08,3학년,ttl,3
927197,공립,충청북도 음성군,대장초등학교,2016,08,2학년,in,0
933416,공립,충청북도 음성군,대장초등학교,2016,08,2학년,out,1
939635,공립,충청북도 음성군,대장초등학교,2016,08,2학년,ttl,4
1020466,공립,충청북도 음성군,대장초등학교,2015,08,1학년,in,0
1026677,공립,충청북도 음성군,대장초등학교,2015,08,1학년,out,0
1032888,공립,충청북도 음성군,대장초등학교,2015,08,1학년,ttl,4
721178,공립,충청북도 음성군,대장초등학교,2018,09,3학년,in,1
727430,공립,충청북도 음성군,대장초등학교,2018,09,3학년,out,1
733682,공립,충청북도 음성군,대장초등학교,2018,09,3학년,ttl,7
814919,공립,충청북도 음성군,대장초등학교,2017,09,2학년,in,3
821162,공립,충청북도 음성군,대장초등학교,2017,09,2학년,out,0
827405,공립,충청북도 음성군,대장초등학교,2017,09,2학년,ttl,5
908540,공립,충청북도 음성군,대장초등학교,2016,09,1학년,in,1
914759,공립,충청북도 음성군,대장초등학교,2016,09,1학년,out,0
920978,공립,충청북도 음성군,대장초등학교,2016,09,1학년,ttl,4
702422,공립,충청북도 음성군,대장초등학교,2018,10,2학년,in,1
708674,공립,충청북도 음성군,대장초등학교,2018,10,2학년,out,0
714926,공립,충청북도 음성군,대장초등학교,2018,10,2학년,ttl,3
796190,공립,충청북도 음성군,대장초등학교,2017,10,1학년,in,1
802433,공립,충청북도 음성군,대장초등학교,2017,10,1학년,out,1
808676,공립,충청북도 음성군,대장초등학교,2017,10,1학년,ttl,3
683666,공립,충청북도 음성군,대장초등학교,2018,11,1학년,in,1
689918,공립,충청북도 음성군,대장초등학교,2018,11,1학년,out,0
696170,공립,충청북도 음성군,대장초등학교,2018,11,1학년,ttl,8
552165,공립,충청북도 청주시 청원구,덕벌초등학교,2020,08,6학년,in,2
558454,공립,충청북도 청주시 청원구,덕벌초등학교,2020,08,6학년,out,4
564743,공립,충청북도 청주시 청원구,덕벌초등학교,2020,08,6학년,ttl,77
646190,공립,충청북도 청주시 청원구,덕벌초등학교,2019,08,5학년,in,1
652455,공립,충청북도 청주시 청원구,덕벌초등학교,2019,08,5학년,out,3
658720,공립,충청북도 청주시 청원구,덕벌초등학교,2019,08,5학년,ttl,79
740030,공립,충청북도 청주시 청원구,덕벌초등학교,2018,08,4학년,in,2
746282,공립,충청북도 청주시 청원구,덕벌초등학교,2018,08,4학년,out,6
752534,공립,충청북도 청주시 청원구,덕벌초등학교,2018,08,4학년,ttl,82
833744,공립,충청북도 청주시 청원구,덕벌초등학교,2017,08,3학년,in,4
839987,공립,충청북도 청주시 청원구,덕벌초등학교,2017,08,3학년,out,7
846230,공립,충청북도 청주시 청원구,덕벌초등학교,2017,08,3학년,ttl,79
927293,공립,충청북도 청주시 청원구,덕벌초등학교,2016,08,2학년,in,4
933512,공립,충청북도 청주시 청원구,덕벌초등학교,2016,08,2학년,out,10
939731,공립,충청북도 청주시 청원구,덕벌초등학교,2016,08,2학년,ttl,89
1020562,공립,충청북도 청주시 청원구,덕벌초등학교,2015,08,1학년,in,6
1026773,공립,충청북도 청주시 청원구,덕벌초등학교,2015,08,1학년,out,6
1032984,공립,충청북도 청주시 청원구,덕벌초등학교,2015,08,1학년,ttl,91
438926,공립,충청북도 청주시 청원구,덕벌초등학교,2021,09,6학년,in,2
445235,공립,충청북도 청주시 청원구,덕벌초등학교,2021,09,6학년,out,3
451544,공립,충청북도 청주시 청원구,덕벌초등학교,2021,09,6학년,ttl,59
533298,공립,충청북도 청주시 청원구,덕벌초등학교,2020,09,5학년,in,7
539587,공립,충청북도 청주시 청원구,덕벌초등학교,2020,09,5학년,out,5
545876,공립,충청북도 청주시 청원구,덕벌초등학교,2020,09,5학년,ttl,59
627395,공립,충청북도 청주시 청원구,덕벌초등학교,2019,09,4학년,in,4
633660,공립,충청북도 청주시 청원구,덕벌초등학교,2019,09,4학년,out,4
639925,공립,충청북도 청주시 청원구,덕벌초등학교,2019,09,4학년,ttl,57
721274,공립,충청북도 청주시 청원구,덕벌초등학교,2018,09,3학년,in,4
727526,공립,충청북도 청주시 청원구,덕벌초등학교,2018,09,3학년,out,8
733778,공립,충청북도 청주시 청원구,덕벌초등학교,2018,09,3학년,ttl,64
815015,공립,충청북도 청주시 청원구,덕벌초등학교,2017,09,2학년,in,3
821258,공립,충청북도 청주시 청원구,덕벌초등학교,2017,09,2학년,out,2
827501,공립,충청북도 청주시 청원구,덕벌초등학교,2017,09,2학년,ttl,63
908636,공립,충청북도 청주시 청원구,덕벌초등학교,2016,09,1학년,in,2
914855,공립,충청북도 청주시 청원구,덕벌초등학교,2016,09,1학년,out,3
921074,공립,충청북도 청주시 청원구,덕벌초등학교,2016,09,1학년,ttl,63
325371,공립,충청북도 청주시 청원구,덕벌초등학교,2022,10,6학년,in,0
331680,공립,충청북도 청주시 청원구,덕벌초등학교,2022,10,6학년,out,1
337989,공립,충청북도 청주시 청원구,덕벌초등학교,2022,10,6학년,ttl,56
419999,공립,충청북도 청주시 청원구,덕벌초등학교,2021,10,5학년,in,2
426308,공립,충청북도 청주시 청원구,덕벌초등학교,2021,10,5학년,out,4
432617,공립,충청북도 청주시 청원구,덕벌초등학교,2021,10,5학년,ttl,58
514431,공립,충청북도 청주시 청원구,덕벌초등학교,2020,10,4학년,in,3
520720,공립,충청북도 청주시 청원구,덕벌초등학교,2020,10,4학년,out,1
527009,공립,충청북도 청주시 청원구,덕벌초등학교,2020,10,4학년,ttl,58
608600,공립,충청북도 청주시 청원구,덕벌초등학교,2019,10,3학년,in,2
614865,공립,충청북도 청주시 청원구,덕벌초등학교,2019,10,3학년,out,4
621130,공립,충청북도 청주시 청원구,덕벌초등학교,2019,10,3학년,ttl,57
702518,공립,충청북도 청주시 청원구,덕벌초등학교,2018,10,2학년,in,3
708770,공립,충청북도 청주시 청원구,덕벌초등학교,2018,10,2학년,out,6
715022,공립,충청북도 청주시 청원구,덕벌초등학교,2018,10,2학년,ttl,57
796286,공립,충청북도 청주시 청원구,덕벌초등학교,2017,10,1학년,in,3
802529,공립,충청북도 청주시 청원구,덕벌초등학교,2017,10,1학년,out,3
808772,공립,충청북도 청주시 청원구,덕벌초등학교,2017,10,1학년,ttl,61
211821,공립,충청북도 청주시 청원구,덕벌초등학교,2023,11,6학년,in,5
218128,공립,충청북도 청주시 청원구,덕벌초등학교,2023,11,6학년,out,3
224435,공립,충청북도 청주시 청원구,덕벌초등학교,2023,11,6학년,ttl,58
306444,공립,충청북도 청주시 청원구,덕벌초등학교,2022,11,5학년,in,4
312753,공립,충청북도 청주시 청원구,덕벌초등학교,2022,11,5학년,out,2
319062,공립,충청북도 청주시 청원구,덕벌초등학교,2022,11,5학년,ttl,56
401072,공립,충청북도 청주시 청원구,덕벌초등학교,2021,11,4학년,in,2
407381,공립,충청북도 청주시 청원구,덕벌초등학교,2021,11,4학년,out,8
413690,공립,충청북도 청주시 청원구,덕벌초등학교,2021,11,4학년,ttl,55
495564,공립,충청북도 청주시 청원구,덕벌초등학교,2020,11,3학년,in,5
501853,공립,충청북도 청주시 청원구,덕벌초등학교,2020,11,3학년,out,11
508142,공립,충청북도 청주시 청원구,덕벌초등학교,2020,11,3학년,ttl,61
589805,공립,충청북도 청주시 청원구,덕벌초등학교,2019,11,2학년,in,5
596070,공립,충청북도 청주시 청원구,덕벌초등학교,2019,11,2학년,out,5
602335,공립,충청북도 청주시 청원구,덕벌초등학교,2019,11,2학년,ttl,66
683762,공립,충청북도 청주시 청원구,덕벌초등학교,2018,11,1학년,in,1
690014,공립,충청북도 청주시 청원구,덕벌초등학교,2018,11,1학년,out,3
696266,공립,충청북도 청주시 청원구,덕벌초등학교,2018,11,1학년,ttl,67
98314,공립,충청북도 청주시 청원구,덕벌초등학교,2024,12,6학년,in,4
104616,공립,충청북도 청주시 청원구,덕벌초등학교,2024,12,6학년,out,5
110918,공립,충청북도 청주시 청원구,덕벌초등학교,2024,12,6학년,ttl,70
192900,공립,충청북도 청주시 청원구,덕벌초등학교,2023,12,5학년,in,4
199207,공립,충청북도 청주시 청원구,덕벌초등학교,2023,12,5학년,out,2
205514,공립,충청북도 청주시 청원구,덕벌초등학교,2023,12,5학년,ttl,68
287517,공립,충청북도 청주시 청원구,덕벌초등학교,2022,12,4학년,in,3
293826,공립,충청북도 청주시 청원구,덕벌초등학교,2022,12,4학년,out,3
300135,공립,충청북도 청주시 청원구,덕벌초등학교,2022,12,4학년,ttl,68
382145,공립,충청북도 청주시 청원구,덕벌초등학교,2021,12,3학년,in,4
388454,공립,충청북도 청주시 청원구,덕벌초등학교,2021,12,3학년,out,7
394763,공립,충청북도 청주시 청원구,덕벌초등학교,2021,12,3학년,ttl,69
476697,공립,충청북도 청주시 청원구,덕벌초등학교,2020,12,2학년,in,4
482986,공립,충청북도 청주시 청원구,덕벌초등학교,2020,12,2학년,out,13
489275,공립,충청북도 청주시 청원구,덕벌초등학교,2020,12,2학년,ttl,73
571010,공립,충청북도 청주시 청원구,덕벌초등학교,2019,12,1학년,in,0
577275,공립,충청북도 청주시 청원구,덕벌초등학교,2019,12,1학년,out,3
583540,공립,충청북도 청주시 청원구,덕벌초등학교,2019,12,1학년,ttl,88
552166,공립,충청북도 청주시 청원구,덕성초등학교,2020,08,6학년,in,2
558455,공립,충청북도 청주시 청원구,덕성초등학교,2020,08,6학년,out,3
564744,공립,충청북도 청주시 청원구,덕성초등학교,2020,08,6학년,ttl,104
646191,공립,충청북도 청주시 청원구,덕성초등학교,2019,08,5학년,in,1
652456,공립,충청북도 청주시 청원구,덕성초등학교,2019,08,5학년,out,1
658721,공립,충청북도 청주시 청원구,덕성초등학교,2019,08,5학년,ttl,102
740031,공립,충청북도 청주시 청원구,덕성초등학교,2018,08,4학년,in,3
746283,공립,충청북도 청주시 청원구,덕성초등학교,2018,08,4학년,out,3
752535,공립,충청북도 청주시 청원구,덕성초등학교,2018,08,4학년,ttl,101
833745,공립,충청북도 청주시 청원구,덕성초등학교,2017,08,3학년,in,3
839988,공립,충청북도 청주시 청원구,덕성초등학교,2017,08,3학년,out,4
846231,공립,충청북도 청주시 청원구,덕성초등학교,2017,08,3학년,ttl,102
927294,공립,충청북도 청주시 청원구,덕성초등학교,2016,08,2학년,in,10
933513,공립,충청북도 청주시 청원구,덕성초등학교,2016,08,2학년,out,10
939732,공립,충청북도 청주시 청원구,덕성초등학교,2016,08,2학년,ttl,100
1020563,공립,충청북도 청주시 청원구,덕성초등학교,2015,08,1학년,in,2
1026774,공립,충청북도 청주시 청원구,덕성초등학교,2015,08,1학년,out,8
1032985,공립,충청북도 청주시 청원구,덕성초등학교,2015,08,1학년,ttl,111
438927,공립,충청북도 청주시 청원구,덕성초등학교,2021,09,6학년,in,3
445236,공립,충청북도 청주시 청원구,덕성초등학교,2021,09,6학년,out,2
451545,공립,충청북도 청주시 청원구,덕성초등학교,2021,09,6학년,ttl,91
533299,공립,충청북도 청주시 청원구,덕성초등학교,2020,09,5학년,in,6
539588,공립,충청북도 청주시 청원구,덕성초등학교,2020,09,5학년,out,6
545877,공립,충청북도 청주시 청원구,덕성초등학교,2020,09,5학년,ttl,89
627396,공립,충청북도 청주시 청원구,덕성초등학교,2019,09,4학년,in,4
633661,공립,충청북도 청주시 청원구,덕성초등학교,2019,09,4학년,out,6
639926,공립,충청북도 청주시 청원구,덕성초등학교,2019,09,4학년,ttl,94
721275,공립,충청북도 청주시 청원구,덕성초등학교,2018,09,3학년,in,0
727527,공립,충청북도 청주시 청원구,덕성초등학교,2018,09,3학년,out,3
733779,공립,충청북도 청주시 청원구,덕성초등학교,2018,09,3학년,ttl,96
815016,공립,충청북도 청주시 청원구,덕성초등학교,2017,09,2학년,in,3
821259,공립,충청북도 청주시 청원구,덕성초등학교,2017,09,2학년,out,11
827502,공립,충청북도 청주시 청원구,덕성초등학교,2017,09,2학년,ttl,101
908637,공립,충청북도 청주시 청원구,덕성초등학교,2016,09,1학년,in,3
914856,공립,충청북도 청주시 청원구,덕성초등학교,2016,09,1학년,out,6
921075,공립,충청북도 청주시 청원구,덕성초등학교,2016,09,1학년,ttl,107
325372,공립,충청북도 청주시 청원구,덕성초등학교,2022,10,6학년,in,3
331681,공립,충청북도 청주시 청원구,덕성초등학교,2022,10,6학년,out,2
337990,공립,충청북도 청주시 청원구,덕성초등학교,2022,10,6학년,ttl,83
420000,공립,충청북도 청주시 청원구,덕성초등학교,2021,10,5학년,in,7
426309,공립,충청북도 청주시 청원구,덕성초등학교,2021,10,5학년,out,4
432618,공립,충청북도 청주시 청원구,덕성초등학교,2021,10,5학년,ttl,80
514432,공립,충청북도 청주시 청원구,덕성초등학교,2020,10,4학년,in,1
520721,공립,충청북도 청주시 청원구,덕성초등학교,2020,10,4학년,out,11
527010,공립,충청북도 청주시 청원구,덕성초등학교,2020,10,4학년,ttl,83
608601,공립,충청북도 청주시 청원구,덕성초등학교,2019,10,3학년,in,4
614866,공립,충청북도 청주시 청원구,덕성초등학교,2019,10,3학년,out,1
621131,공립,충청북도 청주시 청원구,덕성초등학교,2019,10,3학년,ttl,84
702519,공립,충청북도 청주시 청원구,덕성초등학교,2018,10,2학년,in,0
708771,공립,충청북도 청주시 청원구,덕성초등학교,2018,10,2학년,out,4
715023,공립,충청북도 청주시 청원구,덕성초등학교,2018,10,2학년,ttl,87
796287,공립,충청북도 청주시 청원구,덕성초등학교,2017,10,1학년,in,2
802530,공립,충청북도 청주시 청원구,덕성초등학교,2017,10,1학년,out,3
808773,공립,충청북도 청주시 청원구,덕성초등학교,2017,10,1학년,ttl,91
211822,공립,충청북도 청주시 청원구,덕성초등학교,2023,11,6학년,in,10
218129,공립,충청북도 청주시 청원구,덕성초등학교,2023,11,6학년,out,3
224436,공립,충청북도 청주시 청원구,덕성초등학교,2023,11,6학년,ttl,80
306445,공립,충청북도 청주시 청원구,덕성초등학교,2022,11,5학년,in,10
312754,공립,충청북도 청주시 청원구,덕성초등학교,2022,11,5학년,out,10
319063,공립,충청북도 청주시 청원구,덕성초등학교,2022,11,5학년,ttl,81
401073,공립,충청북도 청주시 청원구,덕성초등학교,2021,11,4학년,in,5
407382,공립,충청북도 청주시 청원구,덕성초등학교,2021,11,4학년,out,6
413691,공립,충청북도 청주시 청원구,덕성초등학교,2021,11,4학년,ttl,79
495565,공립,충청북도 청주시 청원구,덕성초등학교,2020,11,3학년,in,10
501854,공립,충청북도 청주시 청원구,덕성초등학교,2020,11,3학년,out,6
508143,공립,충청북도 청주시 청원구,덕성초등학교,2020,11,3학년,ttl,75
589806,공립,충청북도 청주시 청원구,덕성초등학교,2019,11,2학년,in,1
596071,공립,충청북도 청주시 청원구,덕성초등학교,2019,11,2학년,out,1
602336,공립,충청북도 청주시 청원구,덕성초등학교,2019,11,2학년,ttl,76
683763,공립,충청북도 청주시 청원구,덕성초등학교,2018,11,1학년,in,0
690015,공립,충청북도 청주시 청원구,덕성초등학교,2018,11,1학년,out,2
696267,공립,충청북도 청주시 청원구,덕성초등학교,2018,11,1학년,ttl,77
98315,공립,충청북도 청주시 청원구,덕성초등학교,2024,12,6학년,in,2
104617,공립,충청북도 청주시 청원구,덕성초등학교,2024,12,6학년,out,4
110919,공립,충청북도 청주시 청원구,덕성초등학교,2024,12,6학년,ttl,70
192901,공립,충청북도 청주시 청원구,덕성초등학교,2023,12,5학년,in,8
199208,공립,충청북도 청주시 청원구,덕성초등학교,2023,12,5학년,out,4
205515,공립,충청북도 청주시 청원구,덕성초등학교,2023,12,5학년,ttl,65
287518,공립,충청북도 청주시 청원구,덕성초등학교,2022,12,4학년,in,4
293827,공립,충청북도 청주시 청원구,덕성초등학교,2022,12,4학년,out,5
300136,공립,충청북도 청주시 청원구,덕성초등학교,2022,12,4학년,ttl,67
382146,공립,충청북도 청주시 청원구,덕성초등학교,2021,12,3학년,in,3
388455,공립,충청북도 청주시 청원구,덕성초등학교,2021,12,3학년,out,3
394764,공립,충청북도 청주시 청원구,덕성초등학교,2021,12,3학년,ttl,66
476698,공립,충청북도 청주시 청원구,덕성초등학교,2020,12,2학년,in,4
482987,공립,충청북도 청주시 청원구,덕성초등학교,2020,12,2학년,out,7
489276,공립,충청북도 청주시 청원구,덕성초등학교,2020,12,2학년,ttl,67
571011,공립,충청북도 청주시 청원구,덕성초등학교,2019,12,1학년,in,0
577276,공립,충청북도 청주시 청원구,덕성초등학교,2019,12,1학년,out,6
583541,공립,충청북도 청주시 청원구,덕성초등학교,2019,12,1학년,ttl,78
552207,공립,충청북도 충주시,덕신초등학교,2020,08,6학년,in,0
558496,공립,충청북도 충주시,덕신초등학교,2020,08,6학년,out,1
564785,공립,충청북도 충주시,덕신초등학교,2020,08,6학년,ttl,9
646234,공립,충청북도 충주시,덕신초등학교,2019,08,5학년,in,0
652499,공립,충청북도 충주시,덕신초등학교,2019,08,5학년,out,0
658764,공립,충청북도 충주시,덕신초등학교,2019,08,5학년,ttl,10
740075,공립,충청북도 충주시,덕신초등학교,2018,08,4학년,in,2
746327,공립,충청북도 충주시,덕신초등학교,2018,08,4학년,out,1
752579,공립,충청북도 충주시,덕신초등학교,2018,08,4학년,ttl,9
833790,공립,충청북도 충주시,덕신초등학교,2017,08,3학년,in,3
840033,공립,충청북도 충주시,덕신초등학교,2017,08,3학년,out,1
846276,공립,충청북도 충주시,덕신초등학교,2017,08,3학년,ttl,8
927339,공립,충청북도 충주시,덕신초등학교,2016,08,2학년,in,0
933558,공립,충청북도 충주시,덕신초등학교,2016,08,2학년,out,0
939777,공립,충청북도 충주시,덕신초등학교,2016,08,2학년,ttl,6
1020608,공립,충청북도 충주시,덕신초등학교,2015,08,1학년,in,0
1026819,공립,충청북도 충주시,덕신초등학교,2015,08,1학년,out,0
1033030,공립,충청북도 충주시,덕신초등학교,2015,08,1학년,ttl,6
438968,공립,충청북도 충주시,덕신초등학교,2021,09,6학년,in,2
445277,공립,충청북도 충주시,덕신초등학교,2021,09,6학년,out,0
451586,공립,충청북도 충주시,덕신초등학교,2021,09,6학년,ttl,10
533340,공립,충청북도 충주시,덕신초등학교,2020,09,5학년,in,0
539629,공립,충청북도 충주시,덕신초등학교,2020,09,5학년,out,0
545918,공립,충청북도 충주시,덕신초등학교,2020,09,5학년,ttl,8
627439,공립,충청북도 충주시,덕신초등학교,2019,09,4학년,in,0
633704,공립,충청북도 충주시,덕신초등학교,2019,09,4학년,out,1
639969,공립,충청북도 충주시,덕신초등학교,2019,09,4학년,ttl,8
721319,공립,충청북도 충주시,덕신초등학교,2018,09,3학년,in,1
727571,공립,충청북도 충주시,덕신초등학교,2018,09,3학년,out,0
733823,공립,충청북도 충주시,덕신초등학교,2018,09,3학년,ttl,8
815061,공립,충청북도 충주시,덕신초등학교,2017,09,2학년,in,2
821304,공립,충청북도 충주시,덕신초등학교,2017,09,2학년,out,0
827547,공립,충청북도 충주시,덕신초등학교,2017,09,2학년,ttl,6
908682,공립,충청북도 충주시,덕신초등학교,2016,09,1학년,in,0
914901,공립,충청북도 충주시,덕신초등학교,2016,09,1학년,out,0
921120,공립,충청북도 충주시,덕신초등학교,2016,09,1학년,ttl,4
325413,공립,충청북도 충주시,덕신초등학교,2022,10,6학년,in,0
331722,공립,충청북도 충주시,덕신초등학교,2022,10,6학년,out,3
338031,공립,충청북도 충주시,덕신초등학교,2022,10,6학년,ttl,13
420041,공립,충청북도 충주시,덕신초등학교,2021,10,5학년,in,1
426350,공립,충청북도 충주시,덕신초등학교,2021,10,5학년,out,1
432659,공립,충청북도 충주시,덕신초등학교,2021,10,5학년,ttl,14
514473,공립,충청북도 충주시,덕신초등학교,2020,10,4학년,in,0
520762,공립,충청북도 충주시,덕신초등학교,2020,10,4학년,out,0
527051,공립,충청북도 충주시,덕신초등학교,2020,10,4학년,ttl,14
608644,공립,충청북도 충주시,덕신초등학교,2019,10,3학년,in,0
614909,공립,충청북도 충주시,덕신초등학교,2019,10,3학년,out,0
621174,공립,충청북도 충주시,덕신초등학교,2019,10,3학년,ttl,14
702563,공립,충청북도 충주시,덕신초등학교,2018,10,2학년,in,1
708815,공립,충청북도 충주시,덕신초등학교,2018,10,2학년,out,1
715067,공립,충청북도 충주시,덕신초등학교,2018,10,2학년,ttl,13
796332,공립,충청북도 충주시,덕신초등학교,2017,10,1학년,in,1
802575,공립,충청북도 충주시,덕신초등학교,2017,10,1학년,out,1
808818,공립,충청북도 충주시,덕신초등학교,2017,10,1학년,ttl,14
211863,공립,충청북도 충주시,덕신초등학교,2023,11,6학년,in,1
218170,공립,충청북도 충주시,덕신초등학교,2023,11,6학년,out,1
224477,공립,충청북도 충주시,덕신초등학교,2023,11,6학년,ttl,13
306486,공립,충청북도 충주시,덕신초등학교,2022,11,5학년,in,0
312795,공립,충청북도 충주시,덕신초등학교,2022,11,5학년,out,0
319104,공립,충청북도 충주시,덕신초등학교,2022,11,5학년,ttl,12
401114,공립,충청북도 충주시,덕신초등학교,2021,11,4학년,in,2
407423,공립,충청북도 충주시,덕신초등학교,2021,11,4학년,out,0
413732,공립,충청북도 충주시,덕신초등학교,2021,11,4학년,ttl,11
495606,공립,충청북도 충주시,덕신초등학교,2020,11,3학년,in,0
501895,공립,충청북도 충주시,덕신초등학교,2020,11,3학년,out,2
508184,공립,충청북도 충주시,덕신초등학교,2020,11,3학년,ttl,10
589849,공립,충청북도 충주시,덕신초등학교,2019,11,2학년,in,0
596114,공립,충청북도 충주시,덕신초등학교,2019,11,2학년,out,0
602379,공립,충청북도 충주시,덕신초등학교,2019,11,2학년,ttl,12
683807,공립,충청북도 충주시,덕신초등학교,2018,11,1학년,in,0
690059,공립,충청북도 충주시,덕신초등학교,2018,11,1학년,out,0
696311,공립,충청북도 충주시,덕신초등학교,2018,11,1학년,ttl,12
98356,공립,충청북도 충주시,덕신초등학교,2024,12,6학년,in,0
104658,공립,충청북도 충주시,덕신초등학교,2024,12,6학년,out,1
110960,공립,충청북도 충주시,덕신초등학교,2024,12,6학년,ttl,9
192942,공립,충청북도 충주시,덕신초등학교,2023,12,5학년,in,2
199249,공립,충청북도 충주시,덕신초등학교,2023,12,5학년,out,1
205556,공립,충청북도 충주시,덕신초등학교,2023,12,5학년,ttl,10
287559,공립,충청북도 충주시,덕신초등학교,2022,12,4학년,in,2
293868,공립,충청북도 충주시,덕신초등학교,2022,12,4학년,out,2
300177,공립,충청북도 충주시,덕신초등학교,2022,12,4학년,ttl,11
382187,공립,충청북도 충주시,덕신초등학교,2021,12,3학년,in,1
388496,공립,충청북도 충주시,덕신초등학교,2021,12,3학년,out,0
394805,공립,충청북도 충주시,덕신초등학교,2021,12,3학년,ttl,8
476739,공립,충청북도 충주시,덕신초등학교,2020,12,2학년,in,1
483028,공립,충청북도 충주시,덕신초등학교,2020,12,2학년,out,0
489317,공립,충청북도 충주시,덕신초등학교,2020,12,2학년,ttl,7
571054,공립,충청북도 충주시,덕신초등학교,2019,12,1학년,in,0
577319,공립,충청북도 충주시,덕신초등학교,2019,12,1학년,out,0
583584,공립,충청북도 충주시,덕신초등학교,2019,12,1학년,ttl,7
551999,공립,충청북도 증평군,도안초등학교,2020,08,6학년,in,0
558288,공립,충청북도 증평군,도안초등학교,2020,08,6학년,out,1
564577,공립,충청북도 증평군,도안초등학교,2020,08,6학년,ttl,13
646024,공립,충청북도 증평군,도안초등학교,2019,08,5학년,in,0
652289,공립,충청북도 증평군,도안초등학교,2019,08,5학년,out,1
658554,공립,충청북도 증평군,도안초등학교,2019,08,5학년,ttl,14
739859,공립,충청북도 증평군,도안초등학교,2018,08,4학년,in,1
746111,공립,충청북도 증평군,도안초등학교,2018,08,4학년,out,0
752363,공립,충청북도 증평군,도안초등학교,2018,08,4학년,ttl,14
833571,공립,충청북도 증평군,도안초등학교,2017,08,3학년,in,4
839814,공립,충청북도 증평군,도안초등학교,2017,08,3학년,out,0
846057,공립,충청북도 증평군,도안초등학교,2017,08,3학년,ttl,13
927118,공립,충청북도 증평군,도안초등학교,2016,08,2학년,in,1
933337,공립,충청북도 증평군,도안초등학교,2016,08,2학년,out,1
939556,공립,충청북도 증평군,도안초등학교,2016,08,2학년,ttl,11
1020387,공립,충청북도 증평군,도안초등학교,2015,08,1학년,in,0
1026598,공립,충청북도 증평군,도안초등학교,2015,08,1학년,out,0
1032809,공립,충청북도 증평군,도안초등학교,2015,08,1학년,ttl,10
438761,공립,충청북도 증평군,도안초등학교,2021,09,6학년,in,0
445070,공립,충청북도 증평군,도안초등학교,2021,09,6학년,out,0
