,설립구분,지역,학교명,기준연도,출생년도,학년,구분,학생수
589794,공립,충청북도 청주시 흥덕구,가경초등학교,2019,11,2학년,in,3
596059,공립,충청북도 청주시 흥덕구,가경초등학교,2019,11,2학년,out,2
602324,공립,충청북도 청주시 흥덕구,가경초등학교,2019,11,2학년,ttl,55
683750,공립,충청북도 청주시 흥덕구,가경초등학교,2018,11,1학년,in,0
690002,공립,충청북도 청주시 흥덕구,가경초등학교,2018,11,1학년,out,3
696254,공립,충청북도 청주시 흥덕구,가경초등학교,2018,11,1학년,ttl,56
98303,공립,충청북도 청주시 흥덕구,가경초등학교,2024,12,6학년,in,4
104605,공립,충청북도 청주시 흥덕구,가경초등학교,2024,12,6학년,out,1
110907,공립,충청북도 청주시 흥덕구,가경초등학교,2024,12,6학년,ttl,61
192889,공립,충청북도 청주시 흥덕구,가경초등학교,2023,12,5학년,in,10
199196,공립,충청북도 청주시 흥덕구,가경초등학교,2023,12,5학년,out,3
205503,공립,충청북도 청주시 흥덕구,가경초등학교,2023,12,5학년,ttl,53
287506,공립,충청북도 청주시 흥덕구,가경초등학교,2022,12,4학년,in,4
293815,공립,충청북도 청주시 흥덕구,가경초등학교,2022,12,4학년,out,3
300124,공립,충청북도 청주시 흥덕구,가경초등학교,2022,12,4학년,ttl,53
382134,공립,충청북도 청주시 흥덕구,가경초등학교,2021,12,3학년,in,2
388443,공립,충청북도 청주시 흥덕구,가경초등학교,2021,12,3학년,out,6
394752,공립,충청북도 청주시 흥덕구,가경초등학교,2021,12,3학년,ttl,52
476686,공립,충청북도 청주시 흥덕구,가경초등학교,2020,12,2학년,in,3
482975,공립,충청북도 청주시 흥덕구,가경초등학교,2020,12,2학년,out,5
489264,공립,충청북도 청주시 흥덕구,가경초등학교,2020,12,2학년,ttl,55
570999,공립,충청북도 청주시 흥덕구,가경초등학교,2019,12,1학년,in,0
577264,공립,충청북도 청주시 흥덕구,가경초등학교,2019,12,1학년,out,3
583529,공립,충청북도 청주시 흥덕구,가경초등학교,2019,12,1학년,ttl,60
552015,공립,충청북도 단양군,가곡초등학교,2020,08,6학년,in,1
558304,공립,충청북도 단양군,가곡초등학교,2020,08,6학년,out,0
564593,공립,충청북도 단양군,가곡초등학교,2020,08,6학년,ttl,10
646040,공립,충청북도 단양군,가곡초등학교,2019,08,5학년,in,1
652305,공립,충청북도 단양군,가곡초등학교,2019,08,5학년,out,1
658570,공립,충청북도 단양군,가곡초등학교,2019,08,5학년,ttl,10
739875,공립,충청북도 단양군,가곡초등학교,2018,08,4학년,in,2
746127,공립,충청북도 단양군,가곡초등학교,2018,08,4학년,out,0
752379,공립,충청북도 단양군,가곡초등학교,2018,08,4학년,ttl,7
833587,공립,충청북도 단양군,가곡초등학교,2017,08,3학년,in,1
839830,공립,충청북도 단양군,가곡초등학교,2017,08,3학년,out,0
846073,공립,충청북도 단양군,가곡초등학교,2017,08,3학년,ttl,6
927135,공립,충청북도 단양군,가곡초등학교,2016,08,2학년,in,0
933354,공립,충청북도 단양군,가곡초등학교,2016,08,2학년,out,1
939573,공립,충청북도 단양군,가곡초등학교,2016,08,2학년,ttl,7
1020404,공립,충청북도 단양군,가곡초등학교,2015,08,1학년,in,0
1026615,공립,충청북도 단양군,가곡초등학교,2015,08,1학년,out,0
1032826,공립,충청북도 단양군,가곡초등학교,2015,08,1학년,ttl,7
438777,공립,충청북도 단양군,가곡초등학교,2021,09,6학년,in,0
445086,공립,충청북도 단양군,가곡초등학교,2021,09,6학년,out,0
451395,공립,충청북도 단양군,가곡초등학교,2021,09,6학년,ttl,8
533148,공립,충청북도 단양군,가곡초등학교,2020,09,5학년,in,2
539437,공립,충청북도 단양군,가곡초등학교,2020,09,5학년,out,1
545726,공립,충청북도 단양군,가곡초등학교,2020,09,5학년,ttl,6
627245,공립,충청북도 단양군,가곡초등학교,2019,09,4학년,in,0
633510,공립,충청북도 단양군,가곡초등학교,2019,09,4학년,out,0
639775,공립,충청북도 단양군,가곡초등학교,2019,09,4학년,ttl,7
721119,공립,충청북도 단양군,가곡초등학교,2018,09,3학년,in,2
727371,공립,충청북도 단양군,가곡초등학교,2018,09,3학년,out,0
733623,공립,충청북도 단양군,가곡초등학교,2018,09,3학년,ttl,5
814858,공립,충청북도 단양군,가곡초등학교,2017,09,2학년,in,0
821101,공립,충청북도 단양군,가곡초등학교,2017,09,2학년,out,0
