,학교명,학교도로명 주소,폐교여부,new위도,new경도
69,군서초등학교,충청북도 옥천군 군서면 성왕로 517,N,36.2783408,127.5270381
70,동이초등학교,충청북도 옥천군 동이면 평산길 6,N,36.2861191,127.6190703
71,동이초등학교우산분교장,충청북도 옥천군 동이면 우산로2길 23,N,36.2777818,127.6814153
72,삼양초등학교,충청북도 옥천군 옥천읍 성암1길 9,N,36.2976249,127.5685373
73,안남초등학교,충청북도 옥천군 안남면 연주길 60,N,36.3553851,127.6721271
74,안내초등학교,충청북도 옥천군 안내면 현리길 74,N,36.3951580,127.6606943
75,대성초등학교,충청북도 옥천군 이원면 이원로 443,Y,36.2129021,127.6302572
76,이원초등학교,충청북도 옥천군 이원면 신흥길 25,N,36.2468244,127.6226835
77,이원초등학교지탄분교장,충청북도 옥천군 이원면 지탄리 734-5,Y,36.2439335,127.6822196
78,죽향초등학교,충청북도 옥천군 옥천읍 향수1길 26,N,36.3134577,127.5775613
79,증약초등학교,충청북도 옥천군 군북면 옥천로 1006-22,N,36.3343463,127.5235012
80,증약초등학교대정분교장,충청북도 옥천군 군북면 방아실길 3-2,N,36.3896370,127.5385036
81,청산초등학교,충청북도 옥천군 청산면 지전길 36-19,N,36.3472404,127.7934375
82,청성초등학교,충청북도 옥천군 청성면 산계길 63,N,36.3289155,127.7593800
83,감곡초등학교,충청북도 음성군 감곡면 장감로 207,N,37.1160085,127.6444818
84,남신초등학교,충청북도 음성군 음성읍 설성로 33-20,N,36.9326187,127.6847461
85,남신초등학교덕생분교장,충청북도 음성군 음성읍 덕생로 495-7,Y,36.9143459,127.6236009
86,능산초등학교,충청북도 음성군 삼성면 금율로389번길 30,Y,37.0401855,127.5383208
87,대소초등학교,충청북도 음성군 대소면 오태로 110-12,N,36.9670561,127.4859694
88,대장초등학교,충청북도 음성군 소이면 장금로 79,Y,36.9237675,127.7518883
89,맹동초등학교,충청북도 음성군 맹동면 대동로 9,N,36.9269590,127.5633329
90,무극초등학교,충청북도 음성군 금왕읍 금석로 64,N,36.9913373,127.5988781
91,부윤초등학교,충청북도 음성군 대소면 신내로 110,N,36.9487886,127.5248235
92,삼성초등학교,충청북도 음성군 삼성면 덕정로 41,N,37.0200994,127.4969537
93,생극초등학교,충청북도 음성군 생극면 음성로 1649-8,N,37.0339621,127.6048357
