"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","2","1","96","3","2","96","4","1","96","11","2","104","1","1","121","1","0","126","22","7","639"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","2","0","102","8","0","108","3","0","112","10","0","125","1","3","124","1","0","123","25","3","694"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","3","5","60","4","8","54","7","11","61","5","10","65","5","5","60","3","4","106","27","43","406"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","4","7","154","9","6","112","11","6","120","14","5","124","11","10","160","7","4","113","56","38","783"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","1","3","18","3","5","35","0","1","30","2","7","24","1","1","49","2","3","22","9","20","178"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","0","6","84","5","6","86","9","6","82","8","5","104","7","4","95","12","8","148","41","35","599"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","3","7","70","3","11","66","4","12","60","2","6","62","6","7","61","5","6","61","23","49","380"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","12","3","152","18","3","132","25","5","138","25","9","167","38","6","254","30","2","225","148","28","1068"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","16","8","264","27","6","242","37","10","278","36","5","305","35","9","319","34","2","349","185","40","1757"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","13","5","157","14","4","146","14","3","153","20","6","178","19","6","189","22","5","163","102","29","986"
