"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","0","0","96","2","2","95","2","3","95","5","3","103","0","3","111","0","1","114","9","12","614"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","0","0","100","8","6","105","7","5","105","7","7","104","3","1","105","3","1","108","28","20","627"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","8","5","151","14","4","155","31","10","154","19","9","168","17","4","142","23","9","175","112","41","945"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","26","8","81","30","6","81","31","7","87","34","9","87","24","1","80","15","0","88","160","31","504"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","3","8","46","1","1","51","2","4","48","6","5","53","2","3","47","5","2","64","19","23","309"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","12","6","164","25","3","173","33","4","195","31","4","235","37","2","239","32","2","284","170","21","1290"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","15","12","299","92","10","361","4","27","344","40","24","365","36","34","376","76","0","467","263","107","2212"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","3","4","142","10","10","150","20","8","186","17","9","186","13","5","190","16","8","230","79","44","1084"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","1","1","104","1","3","111","2","2","142","0","3","175","0","7","155","0","3","128","4","19","815"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","4","3","55","2","3","48","3","10","61","2","1","33","3","3","48","1","2","50","15","22","295"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","0","4","27","0","2","22","1","3","25","0","1","22","0","0","20","0","1","27","1","11","143"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","7","2","229","36","3","238","56","9","289","42","8","287","66","8","315","55","4","376","262","34","1734"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","5","4","70","16","6","75","29","5","97","34","7","113","34","5","160","66","5","192","184","32","707"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","6","6","118","17","5","122","26","5","135","39","7","157","26","8","191","66","7","220","180","38","943"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","20","1","253","42","11","278","46","10","289","64","16","360","64","4","314","47","7","346","283","49","1840"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","11","4","196","27","15","214","28","11","205","29","8","225","35","9","230","25","6","262","155","53","1332"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","2","5","111","15","9","106","9","8","131","21","7","171","15","10","128","16","2","172","78","41","819"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","4","2","111","19","7","155","15","8","135","19","3","163","11","6","167","11","6","173","79","32","904"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","3","7","136","16","7","150","15","11","142","15","9","161","10","10","141","15","5","143","74","49","873"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","N","","4","3","44","9","4","54","6","4","53","3","4","54","8","2","60","3","5","67","33","22","332"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","N","","7","14","101","7","18","81","4","19","78","3","12","91","12","21","89","5","2","97","38","86","537"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","N","","3","3","82","9","4","109","8","5","94","4","5","79","13","3","96","9","1","97","46","21","557"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","N","","12","10","215","14","8","258","22","10","236","15","8","211","16","9","212","18","3","228","97","48","1360"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","N","","5","3","242","20","12","238","15","12","209","14","9","192","12","12","197","13","0","203","79","48","1281"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","N","","24","8","153","45","3","159","23","4","151","22","6","163","23","6","140","18","6","200","155","33","966"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","N","","3","5","89","5","5","89","3","5","89","4","4","111","5","0","93","5","3","77","25","22","548"
