"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","1","1","96","2","2","96","6","3","96","0","1","105","0","1","108","0","2","111","9","10","612"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","1","3","98","6","3","101","8","7","103","5","2","104","7","9","103","3","1","104","30","25","613"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","3","2","183","18","8","163","20","6","176","18","6","186","18","9","177","22","2","193","99","33","1078"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","Y","본교는 해당항목에 대해서 통계자료가 없으므로 제외함.","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","1","3","110","8","6","116","13","2","117","11","6","136","18","6","133","10","3","133","61","26","745"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","1","4","35","4","3","49","2","3","37","3","2","49","3","3","47","6","4","49","19","19","266"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","14","2","148","33","7","133","17","6","193","41","7","226","35","7","237","31","6","272","171","35","1209"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","12","2","223","20","7","277","29","11","310","49","11","419","28","9","393","31","10","403","169","50","2025"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","6","3","123","9","1","135","6","5","143","8","6","150","4","6","186","7","5","183","40","26","920"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","3","4","91","0","6","86","1","7","103","1","3","95","4","5","133","0","1","164","9","26","672"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","0","2","52","5","2","45","1","2","47","3","4","48","1","3","48","3","1","35","13","14","275"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","1","0","18","4","4","22","0","1","17","0","5","20","0","2","22","3","2","17","8","14","116"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","12","2","126","30","1","167","29","12","251","43","12","275","39","13","327","49","7","347","202","47","1493"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","8","5","106","21","4","103","30","6","113","42","4","128","51","5","172","72","2","191","224","26","813"
