,학교명,위도,경도,학교도로명 주소,폐교여부
70,동이초등학교,36.2861191,127.6190703,충청북도 옥천군 동이면 평산길 6,N
71,동이초등학교우산분교장,36.2777754,127.6813889,충청북도 옥천군 동이면 우산로2길 23,N
72,삼양초등학교,36.2976249,127.5685373,충청북도 옥천군 옥천읍 성암1길 9,N
73,안남초등학교,36.3552837,127.6720761,충청북도 옥천군 안남면 연주길 60,N
74,안내초등학교,36.3951404,127.660675,충청북도 옥천군 안내면 현리길 74,N
75,대성초등학교,,,충청북도 옥천군 이원면 이원로 443,Y
76,이원초등학교,36.2468245,127.6226835,충청북도 옥천군 이원면 신흥길 25,N
77,이원초등학교지탄분교장,36.2433484,127.68195,,Y
78,죽향초등학교,36.3134729,127.5775235,충청북도 옥천군 옥천읍 향수1길 26,N
79,증약초등학교,36.3340461768,127.523626693,충청북도 옥천군 군북면 옥천로 1006-22,N
80,증약초등학교대정분교장,36.389656,127.5384752,충청북도 옥천군 군북면 방아실길 3-2,N
81,청산초등학교,36.3472404,127.7934375,충청북도 옥천군 청산면 지전길 36-19,N
82,청성초등학교,36.3289155,127.75938,충청북도 옥천군 청성면 산계길 63,N
83,감곡초등학교,37.1160085,127.6444818,충청북도 음성군 감곡면 장감로 207,N
84,남신초등학교,36.932343,127.684785,충청북도 음성군 음성읍 설성로 33-20,N
85,남신초등학교덕생분교장,36.914176,127.6233688,,Y
86,능산초등학교,37.0401837842,127.5383230234,충청북도 음성군 삼성면 금율로389번길 30,Y
87,대소초등학교,36.9670561,127.4859694,충청북도 음성군 대소면 오태로 110-12,N
88,대장초등학교,36.9237316,127.7519721,충청북도 음성군 소이면 장금로 79,Y
89,맹동초등학교,36.926959,127.5633329,충청북도 음성군 맹동면 대동로 9,N
90,무극초등학교,36.9919778,127.5930613,충청북도 음성군 금왕읍 금석로 64,N
91,부윤초등학교,36.9491659757,127.5243398398,충청북도 음성군 대소면 신내로 110,N
92,삼성초등학교,37.0200994,127.4969537,충청북도 음성군 삼성면 덕정로 41,N
93,생극초등학교,37.0342124704,127.6047234966,충청북도 음성군 생극면 음성로 1649-8,N
94,소이초등학교,36.9153426052,127.7547173067,충청북도 음성군 소이면 한불로 564,N
95,수봉초등학교,36.9397346,127.6926326,충청북도 음성군 음성읍 시장로126번길 19,N
96,쌍봉초등학교,37.0031232,127.5422453,충청북도 음성군 금왕읍 금일로371번길 58-17,N
97,오갑초등학교,37.11224,127.67685,충청북도 음성군 감곡면 가곡로 326-7,N
98,오선초등학교,36.9790436,127.5661311,충청북도 음성군 금왕읍 초금로752번길 17,N
99,용천초등학교,36.990989,127.591985,충청북도 음성군 금왕읍 덕금로 1204,N
100,원남초등학교,36.87907,127.653766,충청북도 음성군 원남면 보천로65번길 22,N
101,원당초등학교,37.0743546687,127.6155901777,충청북도 음성군 감곡면 음성로 2142,N
102,청룡초등학교,37.000473,127.472618,충청북도 음성군 삼성면 대청로 255-22,N
103,평곡초등학교,36.9290612,127.7011446,충청북도 음성군 음성읍 약현길 8,N
104,하당초등학교,36.9070253467,127.6792240473,충청북도 음성군 원남면 하초로 35-4,N
105,금성초등학교,37.0674561593,128.1652913213,충청북도 제천시 금성면 국사봉로 1615,N
