"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","1","2","99","2","0","98","1","0","96","3","0","104","0","0","111","1","0","109","8","2","617"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","1","0","106","10","0","110","4","0","120","2","0","119","2","0","123","2","1","132","21","1","710"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","0","3","32","1","3","31","0","4","48","0","5","37","1","1","52","0","2","51","2","18","251"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","10","3","94","8","7","105","13","8","150","7","7","106","8","10","114","8","4","119","54","39","688"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","1","3","21","0","8","20","0","3","14","1","3","22","0","6","22","0","2","19","2","25","118"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","2","3","65","6","12","76","10","12","77","8","6","86","8","12","84","3","3","103","37","48","491"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","1","5","61","4","7","69","2","5","62","4","4","53","4","7","49","3","2","52","18","30","346"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","15","1","131","20","7","144","27","7","202","20","5","186","26","2","200","23","6","219","131","28","1082"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","12","3","251","48","15","330","45","19","308","35","14","311","35","12","358","26","3","368","201","66","1926"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","3","4","155","16","6","189","20","5","170","14","7","168","15","6","171","6","6","191","74","34","1044"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","7","4","170","8","15","161","14","10","167","6","12","126","7","8","101","8","4","109","50","53","834"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","1","2","50","2","4","48","2","7","59","3","6","48","3","5","49","2","3","62","13","27","316"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","0","1","29","2","6","39","1","3","32","2","8","47","1","4","22","1","0","36","7","22","205"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","14","1","161","40","2","181","58","3","182","62","3","215","50","3","230","59","1","296","283","13","1265"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","5","2","80","11","9","89","17","6","99","33","5","105","28","1","139","35","3","157","129","26","669"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","3","0","118","8","0","151","8","0","118","18","0","147","28","0","144","27","0","166","92","0","844"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","N","","6","4","212","27","8","229","28","17","270","38","6","273","23","11","281","19","4","306","141","50","1571"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","N","","2","3","214","10","15","251","12","14","261","6","15","267","2","5","248","10","6","261","42","58","1502"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","N","","22","0","99","34","2","129","24","3","133","33","7","162","30","5","156","21","3","213","164","20","892"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","N","","7","7","167","16","13","165","22","5","174","19","8","138","21","12","148","20","5","205","105","50","997"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","N","","1","6","154","6","8","147","4","10","157","13","11","139","5","5","115","5","2","136","34","42","848"
