"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","5","2","96","5","1","96","7","4","96","11","3","104","2","1","108","1","1","110","31","12","610"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","1","1","84","6","1","98","7","5","102","4","6","106","3","2","105","2","0","100","23","15","595"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","4","6","185","14","8","178","12","15","164","22","13","181","10","13","183","26","8","176","88","63","1067"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","26","1","132","117","2","87","158","1","119","153","1","121","135","0","111","106","0","79","695","5","649"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","2","8","123","11","5","103","10","9","118","16","10","117","18","3","137","17","5","139","74","40","737"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","1","3","43","1","2","32","3","6","45","1","3","36","0","2","49","0","3","43","6","19","248"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","19","2","111","24","3","170","41","6","163","35","9","210","37","9","257","41","7","264","197","36","1175"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","20","6","253","36","4","246","44","5","294","46","11","332","46","10","450","45","7","410","237","43","1985"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","6","1","111","9","5","124","14","4","137","14","5","148","12","10","148","13","6","181","68","31","849"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","7","7","73","7","8","86","2","13","76","5","16","92","8","9","96","9","8","139","38","61","562"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","0","34","1","6","49","3","4","43","0","5","47","1","2","46","2","2","46","9","19","265"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","0","2","16","1","1","18","0","3","21","1","2","15","1","2","15","0","1","20","3","11","105"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","18","2","159","31","1","150","47","5","196","51","9","275","59","9","317","70","8","364","276","34","1461"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","17","3","94","46","5","108","52","1","122","69","2","130","78","4","172","88","4","216","350","19","842"
