"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 전입학생수","1학년 전출학생수","1학년 전체학생수","2학년 전입학생수","2학년 전출학생수","2학년 전체학생수","3학년 전입학생수","3학년 전출학생수","3학년 전체학생수","4학년 전입학생수","4학년 전출학생수","4학년 전체학생수","5학년 전입학생수","5학년 전출학생수","5학년 전체학생수","6학년 전입학생수","6학년 전출학생수","6학년 전체 학생수","전입학생수(계)","전출학생수(계)","전체학생수(계)"
"서울특별시교육청","교육부","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","2","0","96","2","1","96","0","2","115","2","4","120","2","0","132","0","0","131","8","7","690"
"서울특별시교육청","교육부","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","1","1","104","6","2","111","1","2","117","3","2","118","5","4","122","0","1","130","16","12","702"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","1","4","65","4","13","77","8","15","66","7","8","109","8","13","100","4","6","150","32","59","567"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","2","5","121","9","7","124","14","6","137","7","4","105","10","2","122","9","1","162","51","25","771"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","0","1","37","2","9","36","0","9","59","2","4","27","4","8","76","0","4","69","8","35","304"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","2","3","82","6","5","102","2","11","96","12","3","136","13","10","146","6","6","201","41","38","763"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","7","8","68","6","4","69","8","13","66","7","10","67","9","7","69","4","7","94","41","49","433"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","7","0","107","23","9","126","23","6","176","23","3","178","25","9","251","25","4","321","126","31","1159"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","7","3","240","26","15","265","29","13","272","24","12","306","34","8","337","25","8","432","145","59","1852"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","8","1","132","13","4","162","15","2","177","15","9","154","22","4","150","16","4","218","89","24","993"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","6","10","109","13","24","105","15","20","109","18","23","107","17","19","112","13","11","109","82","107","651"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","4","56","6","4","62","5","9","79","3","3","68","1","3","84","4","3","100","21","26","449"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","1","1","30","4","1","35","1","1","30","2","1","29","3","3","43","1","3","49","12","10","216"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","5","4","82","17","2","130","25","4","155","25","5","191","17","4","225","37","1","358","126","20","1141"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","5","0","82","10","12","90","13","9","97","11","8","100","19","6","148","26","5","237","84","40","754"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","N","","6","3","85","12","5","113","11","5","106","14","7","111","26","6","165","26","3","242","95","29","822"
