지역,학교명,T_i (2025)
충청북도 제천시,의림초등학교,0.006251052076052382
충청북도 제천시,제천덕산초등학교,0.034080298786181136
충청북도 제천시,제천중앙초등학교,0.014934092352422858
충청북도 제천시,청풍초등학교,-0.02457264957264958
충청북도 제천시,한송초등학교,-0.06666666666666667
충청북도 제천시,홍광초등학교,0.0005770139716030478
충청북도 제천시,화당초등학교,0.05511837503362926
충청북도 제천시,화산초등학교,0.015729890067895245
충청북도 진천군,구정초등학교,0.0417196485310872
충청북도 진천군,금구초등학교,0.11392475399567598
충청북도 진천군,만승초등학교,0.002791673415435936
충청북도 진천군,문백초등학교,0.02185792349726776
충청북도 진천군,문상초등학교,0.02837934708902451
충청북도 진천군,백곡초등학교,0.03763804372323642
충청북도 진천군,성암초등학교,0.06325891108499804
충청북도 진천군,옥동초등학교,-0.01906593811582982
충청북도 진천군,이월초등학교,0.03502772605762639
충청북도 진천군,진천삼수초등학교,-0.0019282988145491854
충청북도 진천군,진천상산초등학교,0.006862551463490431
충청북도 진천군,초평초등학교,0.015913654618473896
충청북도 진천군,학성초등학교,0.05316377758833002
충청북도 진천군,한천초등학교,0.024830570958195724
충청북도 청주시,가덕초등학교,-0.00575880758807588
충청북도 청주시,각리초등학교,0.013837289653859303
충청북도 청주시,갈원초등학교,0.04785646452313119
충청북도 청주시,강내초등학교,-0.004694835680751174
충청북도 청주시,오송초등학교,-0.07889225682006062
충청북도 청주시,남이초등학교,0.04689414739323996
충청북도 청주시,남일초등학교,0.05246208291203236
충청북도 청주시,낭성초등학교,-0.012079378774805865
충청북도 청주시,내수초등학교,0.022245071755941325
충청북도 청주시,대길초등학교,0.10341861327400816
충청북도 청주시,동화초등학교,0.054585289514866984
충청북도 청주시,만수초등학교,0.007526938659675888
충청북도 청주시,문의초등학교,-0.013202858030444237
충청북도 청주시,문의초등학교도원분교장,0.047077474496829336
충청북도 청주시,미원초등학교,0.03493619670090258
충청북도 청주시,미원초등학교금관분교장,0.2638888888888889
충청북도 청주시,북이초등학교,-0.021957671957671957
충청북도 청주시,비상초등학교,-6.890237652909063e-05
충청북도 청주시,상봉초등학교,0.05524657026325547
충청북도 청주시,석성초등학교,0.08553791887125221
