,목록키,목록명,목록설명,조회수,분류체계,기관코드,기관명,국가중점여부,목록 수정일,목록 URL,다운로드_활용신청건수,키워드,데이터 확장자,관리 부서명
24342,15102039,한국연구재단_주문식 교육과정 운영 현황,이 자료는 한국연구재단에서 발간하는 2022년 대학산학협력활동실태조사 내 주문식 교육과정 운영 현황에 대한 자료입니다.,575,일반공공행정 - 일반행정,B552540,한국연구재단,N,2024-08-10,https://www.data.go.kr/data/15102039/fileData.do,115.0,"인문사회 과학,사회,교육",csv,정보기획팀
2197,15141566,충청북도교육청_학교CCTV설치현황,"충청북도 도내 초등학교,중학교,고등학교,특수학교의 CCTV설치현황에 대한 데이터입니다.<br/>매년 4월 개인정보보호종합지원시스템을 통하여 취합된 데이터입니다.",85,일반공공행정 - 일반행정,8000000,충청북도교육청,N,2025-01-24,https://www.data.go.kr/data/15141566/fileData.do,23.0,"CCTV,초등학교,중학교",csv,예산과
24335,15102229,한국연구재단_지식재산권 보유 현황,이 자료는 한국연구재단에서 발간하는 2022년 대학산학협력활동실태조사 내 지식재산권 보유 현황에 대한 자료입니다.,647,일반공공행정 - 일반행정,B552540,한국연구재단,N,2024-08-10,https://www.data.go.kr/data/15102229/fileData.do,108.0,"사회,법,지적재산권법",csv,정보기획팀
13517,15136867,한국사학진흥재단_대학재정알리미 기숙사 수용현황,"한국사학진흥재단 대학재정알리미 시스템에서 제공하는 기숙사 수용현황 목록입니다. 해당 데이터는 학교명, 캠퍼스명, 설립구분명, 지역구분명, 재학생수, 수용가능인원, 수용률 등을 제공합니다.",283,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-20,https://www.data.go.kr/data/15136867/fileData.do,32.0,"기숙사,대학교,사립대학교",csv,대학정보화지원부
24285,15117898,한국연구재단_외국교육기관 방문 및 교환 및 졸업생현황,"한국연구재단이 보유하고 있는 ""외국교육기관 및 외국인학교 종합안내"" 시스템 내  ""외국교육기관(고등), 방문, 교환, 졸업생현황"" 정보입니다. 학부코드, 정보공시 ID, 학교 ID, 기준년도, 분기, 학과명 등의 정보가 있습니다 <br/>",393,일반공공행정 - 일반행정,B552540,한국연구재단,N,2024-08-11,https://www.data.go.kr/data/15117898/fileData.do,61.0,"외국교육,교환,졸업생",csv,정보기획팀
13510,15136815,한국사학진흥재단_대학재정알리미 국고보조금 현황,"한국사학진흥재단 대학재정알리미에서 제공하고있는 국고보조금 현황입니다. 학교명, 학교급구분명, 지역구분명, 보조금 전체 합계 등의 정보를 제공하고 있습니다.",114,일반공공행정 - 일반행정,B340004,한국사학진흥재단,N,2024-09-20,https://www.data.go.kr/data/15136815/fileData.do,35.0,"국고보조금,대학교,대학재정알리미",csv,대학정보화지원부
13901,15136427,충청남도교육청_천안 학교통합 연혁 정보,"천안의 학교통합 연혁 정보에 대한 데이터로 연혁 연도, 연혁 월, 연혁 일, 연혁 내용, 소속(학교명)의 데이터를 제공합니다.",161,일반공공행정 - 일반행정,8140000,충청남도교육청,N,2024-09-19,https://www.data.go.kr/data/15136427/fileData.do,34.0,"천안,학교통합,연혁",csv,재무과
13505,15136764,경기도교육청_경기도안산교육지원청_보도자료,"안산교육지원청의 각종 홍보, 보도자료 게시물 정보입니다. 보도자료 제목, 게시물 ID, 보도자료 내용, 게시일자, 등록부서명, 등록부서 연락처를 제공합니다.",183,일반공공행정 - 일반행정,7530000,경기도교육청,N,2024-09-20,https://www.data.go.kr/data/15136764/fileData.do,24.0,"보도자료,홍보,언론",csv,경기도안산교육지원청 행정국 감사과
13432,15137635,동북아역사재단_메인홈페이지 메뉴 및 콘텐츠 정보,"동북아역사재단 메인 홈페이지의 메뉴 및 콘텐츠 정보입니다. 메뉴명, 메뉴타입, 메뉴링크, 공공저작물 적용여부, 공공저작물 상업적 이용 표시, 공개 여부, 첨부파일 여부 정보를 포함하고 있습니다.",761,일반공공행정 - 일반행정,B551961,동북아역사재단,N,2024-09-20,https://www.data.go.kr/data/15137635/fileData.do,26.0,"홈페이지,메뉴,콘텐츠",csv,교육홍보실
13410,15137544,동북아역사재단_동북아역사넷 오류신고 내역,"동북아역사재단 역사자료 디지털플랫폼인 동북아역사넷의 오류신고에 대한 데이터입니다. 아이템명, 레벨아이디, 자료명, 오류신고 제목, 신고일 정보를 포함하고 있습니다.",128,일반공공행정 - 일반행정,B551961,동북아역사재단,N,2024-09-20,https://www.data.go.kr/data/15137544/fileData.do,25.0,"동북아역사넷,자료오류,오류신고",csv,교육홍보실
