시도교육청코드,시도교육청명,행정표준코드,학교명,학년도,학기,시간표일자,학년,학급명,교시,수업내용,수정일자
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,6,4,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,6,5,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,7,1,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,7,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,7,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,7,4,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,7,5,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,9,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,9,2,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,9,3,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,9,4,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,3,9,5,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,1,1,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,1,2,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,1,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,1,4,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,1,5,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,3,1,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,3,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,3,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,3,4,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,3,5,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,5,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,5,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,5,3,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,5,4,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,5,5,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,6,1,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,6,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,6,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,6,4,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,6,5,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,7,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,7,2,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,7,3,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,7,4,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,7,5,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,8,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,8,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,8,3,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,8,4,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,8,5,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,9,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,9,2,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,9,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,9,4,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,4,9,5,음악,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,10,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,10,2,자율활동,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,10,3,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,10,4,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,10,5,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,10,6,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,2,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,2,2,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,2,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,2,4,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,2,5,과학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,2,6,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,4,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,4,2,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,4,3,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,4,4,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,4,5,실과,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,4,6,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,5,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,5,2,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,5,3,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,5,4,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,5,5,미술,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,5,6,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,6,1,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,6,2,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,6,3,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,6,4,사회,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,6,5,체육,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,6,6,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,7,1,도덕,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,7,2,영어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,7,3,국어,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,7,4,수학,20230312
B10,서울특별시교육청,7132108,서울신상도초등학교,2023,1,20230306,5,7,5,체육,20230312
