,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025),SCR(2025)
218,충청북도 청주시,청남초등학교,0.10164299248727542,0.008089984886734588,-6.0,22.0,-9.276938789196624
184,충청북도 청주시,석교초등학교,-0.12458144368858654,-0.12507408620940733,-6.0,21.0,-9.003647562648364
168,충청북도 청주시,분평초등학교,0.04752493208463011,0.03766434211588419,-6.0,20.0,-8.610368388215644
139,충청북도 청주시,개신초등학교,0.08658697525143544,0.011978701938897794,-6.0,20.0,-8.607964279516162
157,충청북도 청주시,모충초등학교,-0.0648549390544923,-0.05847736399582291,-6.0,19.0,-8.31092191076285
220,충청북도 청주시,청주교육대학교부설초등학교,0.03090811335050554,0.006705341879357296,-6.0,19.0,-8.28309478245406
207,충청북도 청주시,원평초등학교,0.07700685431011726,0.019610770844845738,-6.0,19.0,-8.27286082057052
133,충청북도 청주시,가경초등학교,-0.11287493153599425,-0.09239807307379737,-6.0,18.0,-7.989622091091427
181,충청북도 청주시,서원초등학교,0.03347491964006912,-0.039793842522231705,-6.0,18.0,-7.955141252989373
143,충청북도 청주시,금천초등학교,0.0004957645509606571,-0.004934020813246075,-6.0,18.0,-7.954916249363362
147,충청북도 청주시,남평초등학교,0.07322651911731447,-0.002293096378857029,-6.0,18.0,-7.941802763179733
141,충청북도 청주시,경산초등학교,0.03665472816813054,0.037089733147519226,-6.0,18.0,-7.941429079482674
206,충청북도 청주시,원봉초등학교,0.07882628744604177,0.001141838765149709,-6.0,18.0,-7.9402400267573245
217,충청북도 청주시,창신초등학교,0.05613036241226376,0.034061815321796064,-6.0,18.0,-7.9385568486738345
228,충청북도 청주시,한솔초등학교,0.0658375606829215,0.02957133889337279,-6.0,17.0,-7.602170485949372
202,충청북도 청주시,용암초등학교,0.11960004066160364,0.00618967280907156,-6.0,17.0,-7.59681289482491
227,충청북도 청주시,한벌초등학교,0.09530420798713483,0.05421303372522884,-6.0,17.0,-7.59282329875566
188,충청북도 청주시,수곡초등학교,-0.017685602776202795,-0.033558008403319385,-6.0,16.0,-7.292050366402255
142,충청북도 청주시,교동초등학교,-0.01870006751658128,-0.012630292324348966,-6.0,16.0,-7.2886451970252875
152,충청북도 청주시,덕벌초등학교,-0.014500404398102608,-0.014184961733981344,-6.0,16.0,-7.288180170865678
225,충청북도 청주시,풍광초등학교,0.01267843308650257,0.004521668996925989,-6.0,16.0,-7.2802470471575305
