,지역,학교명,S_i(2025),T_i (2025),B_i(2025),D_i(2025)
0,충청북도 괴산군,감물초등학교,-0.057043258673693455,-0.061153198653198654,-1.88,0.0
1,충청북도 괴산군,괴산명덕초등학교,0.12145046342454119,0.04092229484386347,-1.88,2.0
2,충청북도 괴산군,동인초등학교,0.07763023222609573,-0.0035711152057559003,-1.88,2.0
3,충청북도 괴산군,목도초등학교,-0.05497046893901658,-0.06712704901110698,-1.88,0.0
4,충청북도 괴산군,문광초등학교,-0.05403195088615536,0.005847953216374269,-1.88,2.0
5,충청북도 괴산군,백봉초등학교,-0.09545259545259548,0.004947196436558137,-1.88,0.0
6,충청북도 괴산군,보광초등학교,0.01797287603296449,0.0390585171737177,-1.88,0.0
7,충청북도 괴산군,소수초등학교,0.0058823529411764705,-0.09745323416723012,-1.88,0.0
8,충청북도 괴산군,송면초등학교,-0.05721283728802525,-0.003243402624207576,-1.88,0.0
9,충청북도 괴산군,연풍초등학교,-0.02484472049689441,-0.01984126984126984,-1.88,0.0
10,충청북도 괴산군,장연초등학교,-0.9349801959558056,0.002513475684207391,-1.88,0.0
11,충청북도 괴산군,청안초등학교,-0.05675954592363261,0.007456140350877193,-1.88,0.0
12,충청북도 괴산군,청천초등학교,0.008322087269455691,-0.04273504273504273,-1.88,0.0
13,충청북도 괴산군,칠성초등학교,0.08387799564270153,-0.07508369201339073,-1.88,0.0
14,충청북도 단양군,가곡초등학교,0.004214559386973164,-0.3547504025764896,-2.24,0.0
15,충청북도 단양군,가곡초등학교대곡분교장,0.025044091710758387,-0.17835497835497835,-2.24,0.0
16,충청북도 단양군,가곡초등학교보발분교장,0.4444444444444444,0.16666666666666666,-2.24,0.0
17,충청북도 단양군,가평초등학교,-0.23529589371980678,-0.12010869565217391,-2.24,0.0
18,충청북도 단양군,단양초등학교,-0.011076479728841923,-0.011253119368020386,-2.24,1.0
19,충청북도 단양군,단천초등학교,0.03845598845598846,0.01786684044748561,-2.24,1.0
20,충청북도 단양군,대가초등학교,0.02660455486542443,0.07004830917874395,-2.24,0.0
21,충청북도 단양군,대강초등학교,-0.03097273097273097,0.007347428400059979,-2.24,1.0
22,충청북도 단양군,매포초등학교,0.0830734152447876,0.03931474481501481,-2.24,0.0
23,충청북도 단양군,상진초등학교,0.09635878954395292,-0.015180623219045869,-2.24,1.0
24,충청북도 단양군,어상천초등학교,0.1357487922705314,0.17129417747266715,-2.24,0.0
25,충청북도 단양군,영춘초등학교,0.19023569023569023,0.041093474426807754,-2.24,0.0
26,충청북도 단양군,영춘초등학교별방분교장,,0.12222222222222223,-2.24,0.0
27,충청북도 보은군,관기초등학교,0.07738704613704614,0.024828021595262973,-2.64,0.0
28,충청북도 보은군,내북초등학교,-0.07401656314699794,-0.037532515793385346,-2.64,0.0
29,충청북도 보은군,동광초등학교,0.05865719053930606,0.0026886129071819337,-2.64,1.0
30,충청북도 보은군,보은삼산초등학교,-0.026305418047263985,0.015276811802213222,-2.64,1.0
31,충청북도 보은군,산외초등학교,0.18894927536231884,0.061111111111111116,-2.64,0.0
32,충청북도 보은군,세중초등학교,0.10932903918411165,0.040457665903890154,-2.64,0.0
33,충청북도 보은군,속리초등학교,-0.08628275390815658,-0.0012864493996569473,-2.64,0.0
34,충청북도 보은군,수정초등학교,0.1530746384926238,0.019541564707671464,-2.64,0.0
35,충청북도 보은군,수한초등학교,0.04559386973180077,0.013203654582964928,-2.64,0.0
36,충청북도 보은군,종곡초등학교,-0.015377282043948698,-0.0033857386798563233,-2.64,0.0
37,충청북도 보은군,탄부초등학교,0.0005941770647653055,-0.008558979147214449,-2.64,0.0
38,충청북도 보은군,판동초등학교,0.022131887985546522,0.009259259259259259,-2.64,0.0
39,충청북도 보은군,판동초등학교송죽분교장,,0.047619047619047616,-2.64,0.0
40,충청북도 보은군,회남초등학교,0.0893939393939394,0.09444444444444444,-2.64,0.0
41,충청북도 보은군,회인초등학교,0.060027572691641606,-0.015179879823029945,-2.64,0.0
42,충청북도 영동군,구룡초등학교,0.040594266582967144,0.025641025641025644,-3.14,0.0
43,충청북도 영동군,매곡초등학교,0.005048854019105736,-0.02551487414187643,-3.14,0.0
44,충청북도 영동군,부용초등학교,0.08925336579569004,0.037190857465688704,-3.14,2.0
45,충청북도 영동군,상촌초등학교,0.02704222268660875,0.03651019440493125,-3.14,0.0
46,충청북도 영동군,심천초등학교,0.0924775707384403,0.0,-3.14,1.0
47,충청북도 영동군,양강초등학교,0.08412698412698412,0.042559523809523804,-3.14,0.0
48,충청북도 영동군,양산초등학교,0.10566448801742918,0.04747639796659405,-3.14,0.0
49,충청북도 영동군,영동초등학교,0.00791033146457376,-0.002448144608213022,-3.14,2.0
50,충청북도 영동군,용화초등학교,0.18435525826830176,0.011148272017837238,-3.14,0.0
51,충청북도 영동군,이수초등학교,0.04867671226468905,-0.0005671181794519783,-3.14,2.0
