지역,학교명,S_i(2025)
충청북도 청주시,청주교육대학교부설초등학교,0.030908113350505535
충청북도 청주시,한국교원대학교부설월곡초등학교,0.05790348813306544
충청북도 괴산군,감물초등학교,-0.057043258673693455
충청북도 괴산군,괴산명덕초등학교,0.12145046342454119
충청북도 증평군,도안초등학교,-0.1900130492948362
충청북도 괴산군,동인초등학교,0.07763023222609573
충청북도 괴산군,목도초등학교,-0.05497046893901658
충청북도 괴산군,문광초등학교,-0.05403195088615535
충청북도 괴산군,백봉초등학교,-0.09545259545259546
충청북도 괴산군,보광초등학교,0.01797287603296449
충청북도 증평군,삼보초등학교,0.03572555403293659
충청북도 괴산군,소수초등학교,0.0058823529411764705
충청북도 괴산군,송면초등학교,-0.057212837288025245
충청북도 괴산군,연풍초등학교,-0.024844720496894408
충청북도 괴산군,장연초등학교,-0.9349801959558055
충청북도 증평군,죽리초등학교,-0.01849719218841673
충청북도 증평군,증평초등학교,0.03037626290242413
충청북도 괴산군,청안초등학교,-0.05675954592363261
충청북도 괴산군,청천초등학교,0.00832208726945569
충청북도 괴산군,칠성초등학교,0.08387799564270151
충청북도 단양군,가곡초등학교,0.004214559386973163
충청북도 단양군,가곡초등학교대곡분교장,0.025044091710758387
충청북도 단양군,가곡초등학교보발분교장,0.4444444444444444
충청북도 단양군,가평초등학교,-0.23529589371980678
충청북도 단양군,단양초등학교,-0.011076479728841921
충청북도 단양군,단천초등학교,0.03845598845598845
충청북도 단양군,대가초등학교,0.02660455486542443
충청북도 단양군,대강초등학교,-0.03097273097273097
충청북도 단양군,매포초등학교,0.0830734152447876
충청북도 단양군,상진초등학교,0.09635878954395291
충청북도 단양군,어상천초등학교,0.13574879227053138
충청북도 단양군,영춘초등학교,0.19023569023569023
충청북도 보은군,관기초등학교,0.07738704613704614
충청북도 보은군,내북초등학교,-0.07401656314699792
충청북도 보은군,동광초등학교,0.058657190539306056
충청북도 보은군,산외초등학교,0.1889492753623188
충청북도 보은군,보은삼산초등학교,-0.026305418047263985
충청북도 보은군,세중초등학교,0.10932903918411165
충청북도 보은군,속리초등학교,-0.08628275390815657
충청북도 보은군,수정초등학교,0.1530746384926238
충청북도 보은군,수한초등학교,0.04559386973180077
충청북도 보은군,종곡초등학교,-0.015377282043948698
충청북도 보은군,탄부초등학교,0.0005941770647653055
충청북도 보은군,판동초등학교,0.022131887985546522
충청북도 보은군,회남초등학교,0.08939393939393939
충청북도 보은군,회인초등학교,0.060027572691641606
충청북도 영동군,매곡초등학교,0.005048854019105736
충청북도 영동군,부용초등학교,0.08925336579569004
충청북도 영동군,상촌초등학교,0.02704222268660875
충청북도 영동군,심천초등학교,0.09247757073844029
충청북도 영동군,양강초등학교,0.08412698412698412
충청북도 영동군,양산초등학교,0.10566448801742918
충청북도 영동군,구룡초등학교,0.040594266582967144
충청북도 영동군,영동초등학교,0.007910331464573758
충청북도 영동군,용화초등학교,0.18435525826830174
충청북도 영동군,이수초등학교,0.048676712264689045
충청북도 영동군,추풍령초등학교,0.014451838408281237
충청북도 영동군,학산초등학교,0.12169117647058822
충청북도 영동군,황간초등학교,0.09296360820751065
충청북도 옥천군,군남초등학교,0.07486924352595993
충청북도 옥천군,군서초등학교,0.09018759018759018
충청북도 옥천군,동이초등학교,-0.04969191015702643
충청북도 옥천군,동이초등학교우산분교장,-0.1095238095238095
충청북도 옥천군,삼양초등학교,0.008202774620820358
충청북도 옥천군,안남초등학교,0.0674170274170274
충청북도 옥천군,안내초등학교,0.03812636165577342
충청북도 옥천군,이원초등학교,0.1124424902179623
충청북도 옥천군,죽향초등학교,0.07578272240823675
충청북도 옥천군,증약초등학교,0.12822113836463167
충청북도 옥천군,증약초등학교대정분교장,-0.007936507936507936
충청북도 옥천군,청산초등학교,0.2538874430709174
충청북도 옥천군,청성초등학교,-0.08288770053475936
충청북도 음성군,감곡초등학교,-0.02607365827717882
충청북도 음성군,남신초등학교,0.042357845698362935
충청북도 음성군,대소초등학교,0.00863089771635891
충청북도 음성군,맹동초등학교,0.007174688057040997
충청북도 음성군,무극초등학교,0.040615339318915
충청북도 음성군,부윤초등학교,0.09337010580651056
충청북도 음성군,삼성초등학교,0.05351907872778719
충청북도 음성군,생극초등학교,0.043215912377096585
충청북도 음성군,소이초등학교,0.1259259259259259
충청북도 음성군,수봉초등학교,0.0987169868180594
충청북도 음성군,쌍봉초등학교,-0.0007351843558740107
충청북도 음성군,오갑초등학교,-0.033351370851370854
충청북도 음성군,오선초등학교,0.11494443654068068
충청북도 음성군,용천초등학교,0.09167204878948651
충청북도 음성군,원남초등학교,-0.0256713182284295
충청북도 음성군,원당초등학교,0.18987720874513325
충청북도 음성군,청룡초등학교,0.148897885739991
충청북도 음성군,평곡초등학교,-0.12431563586890929
충청북도 음성군,하당초등학교,0.07118796317089601
충청북도 제천시,금성초등학교,0.12565308254963425
충청북도 제천시,남당초등학교,0.06251346282991851
충청북도 제천시,남천초등학교,0.043720857191176826
충청북도 제천시,동명초등학교,-0.007840272745421796
충청북도 제천시,두학초등학교,0.06042224204579245
충청북도 제천시,명지초등학교,-0.024902156928408515
충청북도 제천시,백운초등학교,0.0767195767195767
충청북도 제천시,봉양초등학교,0.07758933786072239
충청북도 제천시,송학초등학교,-0.2754309609148319
충청북도 제천시,수산초등학교,0.26746031746031745
충청북도 제천시,신백초등학교,0.08393041298720812
충청북도 제천시,왕미초등학교,-0.029524020523166734
충청북도 제천시,용두초등학교,0.05010400479150479
충청북도 제천시,의림초등학교,0.09535890077102227
충청북도 제천시,제천덕산초등학교,0.08568033273915626
충청북도 제천시,제천중앙초등학교,0.060130178331586334
충청북도 제천시,청풍초등학교,-0.11700854700854701
충청북도 제천시,한송초등학교,-0.19444444444444442
충청북도 제천시,홍광초등학교,-0.006128205358366718
충청북도 제천시,화당초등학교,0.038229143737618314
충청북도 제천시,화산초등학교,0.04301027249363424
충청북도 진천군,구정초등학교,0.07324578362056267
충청북도 진천군,금구초등학교,0.06993738632156711
충청북도 진천군,만승초등학교,0.02860012329820058
충청북도 진천군,문백초등학교,-0.006328674794330457
충청북도 진천군,문상초등학교,0.06797926959217282
충청북도 진천군,백곡초등학교,0.049527003783969736
충청북도 진천군,성암초등학교,0.08562555456965394
충청북도 진천군,옥동초등학교,-0.0369876548261022
충청북도 진천군,이월초등학교,0.11350760039527977
충청북도 진천군,진천삼수초등학교,0.0204356195349574
충청북도 진천군,진천상산초등학교,0.05826081774399504
충청북도 진천군,초평초등학교,-0.14377191304902148
충청북도 진천군,학성초등학교,0.05777310924369747
충청북도 진천군,한천초등학교,0.05397065613297081
충청북도 청주시,가덕초등학교,0.022255834961450394
충청북도 청주시,각리초등학교,0.06611111468627193
충청북도 청주시,갈원초등학교,0.05456495399024134
충청북도 청주시,강내초등학교,-0.005496415725509166
충청북도 청주시,오송초등학교,-0.10710535054219779
충청북도 청주시,남이초등학교,0.09009682564449298
충청북도 청주시,남일초등학교,0.07171746352737252
충청북도 청주시,낭성초등학교,0.009677717942869231
충청북도 청주시,내수초등학교,0.06411602684789038
충청북도 청주시,대길초등학교,-0.011805710048201707
충청북도 청주시,동화초등학교,0.03531893004115226
충청북도 청주시,만수초등학교,0.02707378467104285
충청북도 청주시,문의초등학교,0.11484341484341483
충청북도 청주시,문의초등학교도원분교장,-0.046076146076146074
충청북도 청주시,미원초등학교,0.010954674267367768
충청북도 청주시,미원초등학교금관분교장,0.125
충청북도 청주시,북이초등학교,0.17570546737213402
충청북도 청주시,비상초등학교,-0.005026428367797439
