"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","전체학급수","전체학생수","생활안전교육 시간(단위활동차시)-1학기","생활안전교육 시간(단위활동차시)-2학기","생활안전교육 시간(단위활동차시)-합계","교통안전교육 시간(단위활동차시)-1학기","교통안전교육 시간(단위활동차시)-2학기","교통안전교육 시간(단위활동차시)-합계","폭력예방및신변보호교육 시간(단위활동차시)-1학기","폭력예방및신변보호교육 시간(단위활동차시)-2학기","폭력예방및신변보호교육 시간(단위활동차시)-합계","약물중독예방교육 시간(단위활동차시) - 1학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 2학기 (2020년 이후)","약물중독예방교육 시간(단위활동차시) - 합계 (2020년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 1학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 2학기 (2023년 이후)","지능정보서비스과의존관련교육 시간(단위활동차시) - 합계 (2023년 이후)","재난안전교육 시간(단위활동차시)-1학기","재난안전교육 시간(단위활동차시)-2학기","재난안전교육 시간(단위활동차시)-합계","직업안전교육 시간(단위활동차시)-1학기","직업안전교육 시간(단위활동차시)-2학기","직업안전교육 시간(단위활동차시)-합계","응급처치교육 시간(단위활동차시)-1학기","응급처치교육 시간(단위활동차시)-2학기","응급처치교육 시간(단위활동차시)-합계"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000456","대구파호초등학교","02","공립","N","","12","236","7.2","4.8","12","5","6","11","4.5","3.5","8","2.5","2.5","5","2.3","2.7","5","2.2","3.8","6","1.2","0.8","2","1.2","0.8","2"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000457","대구학산초등학교","02","공립","N","","17","342","7.8","5.6","13.4","5","7.2","12.2","5.5","5.3","10.8","2.8","2.5","5.3","3","2.6","5.6","2.2","4.9","7.1","1.2","1","2.2","1.6","0.8","2.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000458","대구효명초등학교","02","공립","N","","17","385","6.7","5.3","12","5.2","5.8","11","4.7","3.3","8","2.8","1.2","4","3","3","6","2.8","3.2","6","1","1","2","1","1","2"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000459","효성초등학교","02","사립","N","","18","524","6","6","12","6","6","12","5","4","9","3","3","6","3","3","6","4","2","6","1","1","2","1","1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000565","대구가창초등학교","02","공립","N","","10","166","6","6","12","6","5","11","4","5","9","3","2","5","2","3","5","2","4","6","0","2","2","1","1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000567","대구구지초등학교","02","공립","N","","23","487","9","3","12","5.7","4.8","10.5","5.2","3.1","8.3","2.5","2.6","5.1","2.5","2.6","5.1","2.7","3.3","6","1.2","0.8","2","1.5","0.5","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000568","대구금계초등학교","02","공립","N","","6","141","6","6","12","7","4","11","6","2","8","3","2","5","2","3","5","4","2","6","1","1","2","1","1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000569","대구금포초등학교","02","공립","N","","8","120","8.3","3.7","12","4","5.3","9.3","3.1","4.8","7.9","3.7","4.2","7.9","2","2","4","0.7","4.5","5.2","0","0","0","1","0.6","1.6"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000570","대구남동초등학교","02","공립","N","","12","172","8.7","4.8","13.5","6.7","5","11.7","4.8","4.2","9","6.3","4.3","10.6","5.3","3.6","8.9","3.3","4.8","8.1","1","1.2","2.2","2","1.2","3.2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000571","대구다사초등학교","02","공립","N","","41","934","5","5","10","5","5","10","2","10","12","5","5","10","1","1","2","3","3","6","1","1","2","1","1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000573","대구동곡초등학교","02","공립","N","","6","50","5.2","6.8","12","5","6","11","4","4","8","3","2","5","2","3","5","3","3","6","1","1","2","1","1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000574","대구반송초등학교","02","공립","N","","6","52","6","6","12","5.8","5.2","11","5.1","2.9","8","4.6","3","7.6","1.1","1.3","2.4","3.1","2.9","6","0.8","1.2","2","1","1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000575","대구북동초등학교","02","공립","N","","16","240","5.3","6.3","11.6","5","5.9","10.9","4.1","3.8","7.9","2.8","1.5","4.3","1.6","3.8","5.4","2.9","3","5.9","0.6","1.3","1.9","1.3","0.6","1.9"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000577","대구서재초등학교","02","공립","N","","29","683","8.7","6.2","14.9","5.5","5.9","11.4","6","5.8","11.8","7.6","3.4","11","7.6","3.4","11","2.5","4.3","6.8","1.5","0.5","2","0.9","1.1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000579","대구옥포초등학교","02","공립","N","","13","275","7.5","4.5","12","6.2","5.3","11.5","3.3","5.7","9","1.8","3.7","5.5","2.1","2.6","4.7","2.3","3.7","6","0.8","1.2","2","1.2","1","2.2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000580","대구용계초등학교","02","공립","N","","18","373","6","6","12","5","6","11","4.2","4.2","8.4","2.5","2.5","5","2.5","2.5","5","3","3","6","1","1","2","1","1","2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000582","대구유가초등학교","02","공립","N","","60","1691","8.6","5.2","13.8","4.7","6.8","11.5","5.5","6.3","11.8","2.9","2.3","5.2","2.9","2.3","5.2","3","4.5","7.5","1.2","1","2.2","1.2","1.2","2.4"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000585","대구하빈초등학교","02","공립","N","","6","78","7.8","7.7","15.5","7.2","5.2","12.4","6.8","6","12.8","2","1.7","3.7","3.5","3.3","6.8","2.7","4.8","7.5","0.7","1.8","2.5","1.3","1","2.3"
